layer,unit,description,similarity
layer1,0,mating,0.26113892
layer1,1,beaded,0.076660156
layer1,2,greed,0.14694214
layer1,3,dotted,0.20983887
layer1,4,checker,0.18441772
layer1,5,stripes,0.17599487
layer1,6,mesh,0.16287231
layer1,7,pinkworld,0.11630249
layer1,8,red,0.2524414
layer1,9,quilts,0.13116455
layer1,10,mating,0.11053467
layer1,11,orange,0.14202881
layer1,12,dispenser,0.07785034
layer1,13,stripes,0.1508789
layer1,14,magenta,0.11077881
layer1,15,green,0.20559692
layer1,16,barcode,0.23324585
layer1,17,darkness,0.15197754
layer1,18,zebra,0.26486206
layer1,19,barcode,0.21524048
layer1,20,magenta,0.111450195
layer1,21,renders,0.08087158
layer1,22,green,0.3717041
layer1,23,snorkeling,0.4432068
layer1,24,stripe,0.3403015
layer1,25,window,0.14038086
layer1,26,wallet,0.06607056
layer1,27,textile,0.12155151
layer1,28,stripe,0.07888794
layer1,29,fluorescence,0.08657837
layer1,30,outside,0.10998535
layer1,31,stripes,0.26828003
layer1,32,stripes,0.26235962
layer1,33,stripes,0.3026123
layer1,34,orange,0.26635742
layer1,35,hopper,0.09738159
layer1,36,darkness,0.11767578
layer1,37,zebra,0.12182617
layer1,38,social,0.09710693
layer1,39,window,0.15585327
layer1,40,printable,0.13369751
layer1,41,textured,0.11651611
layer1,42,blue,0.19396973
layer1,43,grid,0.11779785
layer1,44,zebra,0.2845459
layer1,45,magenta,0.31402588
layer1,46,window,0.12243652
layer1,47,lattice,0.13919067
layer1,48,stripes,0.23199463
layer1,49,mesh,0.1149292
layer1,50,hilfiger,0.0798645
layer1,51,quilts,0.1404419
layer1,52,lace,0.10525513
layer1,53,grid,0.14212036
layer1,54,textile,0.14056396
layer1,55,stripes,0.18753052
layer1,56,snorkeling,0.14212036
layer1,57,dotted,0.12322998
layer1,58,textile,0.13150024
layer1,59,yellow,0.15878296
layer1,60,dotted,0.1951294
layer1,61,windows,0.096221924
layer1,62,lace,0.17617798
layer1,63,bw,0.13369751
layer2,0,hoodia,0.20162964
layer2,1,lattice,0.20925903
layer2,2,dotted,0.20123291
layer2,3,stripe,0.11175537
layer2,4,stripes,0.3890381
layer2,5,snorkeling,0.2994995
layer2,6,green,0.27609253
layer2,7,stripe,0.24246216
layer2,8,wicker,0.15527344
layer2,9,dotted,0.28900146
layer2,10,illumination,0.13638306
layer2,11,segments,0.06933594
layer2,12,yellow,0.111694336
layer2,13,facilities,0.08047485
layer2,14,garrison,0.12185669
layer2,15,quilts,0.08169556
layer2,16,shelving,0.14572144
layer2,17,female,0.14480591
layer2,18,quilting,0.086517334
layer2,19,colorful,0.098480225
layer2,20,stripes,0.21279907
layer2,21,grille,0.10925293
layer2,22,checker,0.17120361
layer2,23,dots,0.12643433
layer2,24,lymph,0.087524414
layer2,25,dotted,0.3324585
layer2,26,tapestry,0.09838867
layer2,27,checker,0.12646484
layer2,28,checker,0.095336914
layer2,29,fruits,0.11160278
layer2,30,habitat,0.15478516
layer2,31,dots,0.1564331
layer2,32,shelving,0.15020752
layer2,33,zebra,0.1819458
layer2,34,grid,0.12237549
layer2,35,purple,0.30026245
layer2,36,hostels,0.12991333
layer2,37,dots,0.17596436
layer2,38,stripe,0.17224121
layer2,39,lace,0.29507446
layer2,40,chess,0.1350708
layer2,41,pattern,0.16479492
layer2,42,checker,0.1350708
layer2,43,worksheet,0.1763916
layer2,44,shelves,0.074920654
layer2,45,weaving,0.20550537
layer2,46,zebra,0.10736084
layer2,47,yellow,0.10726929
layer2,48,outside,0.1126709
layer2,49,checker,0.15032959
layer2,50,green,0.28601074
layer2,51,grille,0.11242676
layer2,52,dotted,0.16149902
layer2,53,vaults,0.059570312
layer2,54,dotted,0.3411255
layer2,55,ivtools,0.1111145
layer2,56,bees,0.09576416
layer2,57,female,0.17337036
layer2,58,aa,0.117370605
layer2,59,intake,0.108673096
layer2,60,habitat,0.21734619
layer2,61,wicker,0.08547974
layer2,62,geometric,0.13162231
layer2,63,noir,0.10491943
layer2,64,segments,0.09164429
layer2,65,dotted,0.17449951
layer2,66,instruments,0.06512451
layer2,67,geometric,0.16390991
layer2,68,webs,0.1869812
layer2,69,ascii,0.08068848
layer2,70,juvenile,0.14205933
layer2,71,juvenile,0.09429932
layer2,72,dotted,0.13476562
layer2,73,curtains,0.11450195
layer2,74,mesh,0.14962769
layer2,75,plaque,0.1211853
layer2,76,stripe,0.1611023
layer2,77,greed,0.09686279
layer2,78,curtains,0.12860107
layer2,79,grid,0.12384033
layer2,80,rainbow,0.16101074
layer2,81,dotted,0.3303833
layer2,82,blinds,0.07647705
layer2,83,checker,0.23291016
layer2,84,dotted,0.10839844
layer2,85,navy,0.12606812
layer2,86,crossword,0.11871338
layer2,87,grid,0.20117188
layer2,88,striped,0.2710266
layer2,89,orange,0.18902588
layer2,90,stripe,0.15066528
layer2,91,dots,0.29534912
layer2,92,beaded,0.108673096
layer2,93,textile,0.12719727
layer2,94,textile,0.13046265
layer2,95,dotted,0.12915039
layer2,96,dotted,0.29119873
layer2,97,textile,0.124298096
layer2,98,dotted,0.23495483
layer2,99,magenta,0.27700806
layer2,100,dotted,0.24768066
layer2,101,tiles,0.17041016
layer2,102,roofing,0.109680176
layer2,103,textile,0.13339233
layer2,104,grid,0.22418213
layer2,105,dotted,0.3343506
layer2,106,garrison,0.14422607
layer2,107,magenta,0.25872803
layer2,108,grid,0.24334717
layer2,109,mesh,0.16104126
layer2,110,yellow,0.08135986
layer2,111,fibers,0.13146973
layer2,112,surveying,0.10168457
layer2,113,wildlife,0.16567993
layer2,114,snorkeling,0.2748108
layer2,115,stripe,0.17730713
layer2,116,lace,0.14929199
layer2,117,checker,0.21011353
layer2,118,dotted,0.25585938
layer2,119,dotted,0.3121643
layer2,120,lattice,0.20193481
layer2,121,yellow,0.16192627
layer2,122,landscapes,0.20758057
layer2,123,maize,0.10397339
layer2,124,stripes,0.38409424
layer2,125,dotted,0.13061523
layer2,126,tiles,0.10949707
layer2,127,lattice,0.177948
layer3,0,dotted,0.32888794
layer3,1,dotted,0.47824097
layer3,2,hostels,0.2347107
layer3,3,kitchen,0.13513184
layer3,4,cathedral,0.09353638
layer3,5,stripe,0.3458252
layer3,6,textile,0.17367554
layer3,7,birding,0.26968384
layer3,8,buses,0.11532593
layer3,9,grille,0.11029053
layer3,10,nautical,0.09976196
layer3,11,juvenile,0.26766968
layer3,12,dotted,0.28396606
layer3,13,mesh,0.21121216
layer3,14,memorabilia,0.09094238
layer3,15,textile,0.1430664
layer3,16,upstairs,0.20251465
layer3,17,geometric,0.1592102
layer3,18,mobility,0.13864136
layer3,19,kernels,0.2710266
layer3,20,fibers,0.12402344
layer3,21,weaving,0.2088623
layer3,22,accommodation,0.12231445
layer3,23,blinds,0.12921143
layer3,24,grid,0.18789673
layer3,25,novelties,0.11013794
layer3,26,mesh,0.26394653
layer3,27,accommodation,0.091308594
layer3,28,pillars,0.10021973
layer3,29,garrison,0.117889404
layer3,30,maize,0.1809082
layer3,31,female,0.41027832
layer3,32,textile,0.27163696
layer3,33,dotted,0.47210693
layer3,34,dotted,0.1565857
layer3,35,bookshop,0.25030518
layer3,36,warranties,0.12750244
layer3,37,bee,0.1564331
layer3,38,containers,0.11935425
layer3,39,dots,0.1730957
layer3,40,veins,0.15582275
layer3,41,tapestry,0.14248657
layer3,42,textile,0.12927246
layer3,43,mating,0.4482727
layer3,44,habitat,0.24633789
layer3,45,folds,0.16253662
layer3,46,classrooms,0.12683105
layer3,47,showroom,0.1427002
layer3,48,tiles,0.12783813
layer3,49,checker,0.38787842
layer3,50,dotted,0.19424438
layer3,51,mesh,0.13821411
layer3,52,buildings,0.125
layer3,53,geometric,0.20846558
layer3,54,dotted,0.30932617
layer3,55,spiral,0.13909912
layer3,56,lattice,0.14733887
layer3,57,juvenile,0.25534058
layer3,58,dotted,0.2314148
layer3,59,lattice,0.18753052
layer3,60,lattice,0.15866089
layer3,61,grid,0.15289307
layer3,62,mesh,0.17254639
layer3,63,leds,0.13366699
layer3,64,kernels,0.11621094
layer3,65,baxter,0.28045654
layer3,66,cabinet,0.09899902
layer3,67,checker,0.21469116
layer3,68,tile,0.25567627
layer3,69,patterns,0.17550659
layer3,70,checker,0.23760986
layer3,71,grid,0.22799683
layer3,72,striped,0.15039062
layer3,73,yellow,0.15264893
layer3,74,badge,0.08276367
layer3,75,grille,0.07763672
layer3,76,dotted,0.1703186
layer3,77,dotted,0.21524048
layer3,78,connectors,0.07455444
layer3,79,leaf,0.20178223
layer3,80,checker,0.18515015
layer3,81,habitat,0.19946289
layer3,82,checker,0.23104858
layer3,83,dotted,0.5517578
layer3,84,dotted,0.37405396
layer3,85,cables,0.06265259
layer3,86,gull,0.19137573
layer3,87,roofing,0.1328125
layer3,88,chess,0.1472168
layer3,89,instructors,0.18475342
layer3,90,dotted,0.19226074
layer3,91,web,0.15649414
layer3,92,noir,0.09854126
layer3,93,habitat,0.28323364
layer3,94,prototypes,0.07080078
layer3,95,spots,0.14041138
layer3,96,female,0.31204224
layer3,97,female,0.31863403
layer3,98,waterfall,0.18048096
layer3,99,crochet,0.16296387
layer3,100,rug,0.13195801
layer3,101,dotted,0.30245972
layer3,102,bldg,0.12225342
layer3,103,whistler,0.2001648
layer3,104,paving,0.13534546
layer3,105,gravel,0.13424683
layer3,106,figs,0.120910645
layer3,107,blinds,0.25186157
layer3,108,knives,0.08691406
layer3,109,menu,0.44750977
layer3,110,weaving,0.1437378
layer3,111,textile,0.19824219
layer3,112,dotted,0.19381714
layer3,113,tile,0.07757568
layer3,114,dotted,0.26602173
layer3,115,stripes,0.2758484
layer3,116,female,0.09173584
layer3,117,memorials,0.07711792
layer3,118,checker,0.27301025
layer3,119,web,0.16610718
layer3,120,habitat,0.20755005
layer3,121,mosque,0.12423706
layer3,122,facilities,0.13330078
layer3,123,dotted,0.48983765
layer3,124,honey,0.12466431
layer3,125,horseback,0.17687988
layer3,126,grazing,0.21777344
layer3,127,kernel,0.15509033
layer3,128,textile,0.14300537
layer3,129,checker,0.21990967
layer3,130,lattice,0.07260132
layer3,131,arch,0.097076416
layer3,132,dotted,0.2204895
layer3,133,hostels,0.3128357
layer3,134,frameworks,0.11581421
layer3,135,dotted,0.24368286
layer3,136,female,0.079071045
layer3,137,purple,0.40704346
layer3,138,zebra,0.26913452
layer3,139,spiral,0.21005249
layer3,140,automotive,0.16226196
layer3,141,fluffy,0.274292
layer3,142,grid,0.21005249
layer3,143,soup,0.06295776
layer3,144,habitat,0.2897644
layer3,145,cabinets,0.33462524
layer3,146,blanca,0.089416504
layer3,147,stripe,0.14581299
layer3,148,satin,0.124816895
layer3,149,clipboard,0.13842773
layer3,150,green,0.15847778
layer3,151,dots,0.096221924
layer3,152,dots,0.27087402
layer3,153,checker,0.17529297
layer3,154,slashdot,0.21072388
layer3,155,bookshop,0.35775757
layer3,156,dark,0.128479
layer3,157,aggregate,0.14013672
layer3,158,gadgets,0.15859985
layer3,159,webs,0.23394775
layer3,160,renovated,0.14053345
layer3,161,red,0.2480774
layer3,162,highways,0.17749023
layer3,163,condemned,0.050598145
layer3,164,checker,0.18258667
layer3,165,dotted,0.29125977
layer3,166,furnishings,0.13388062
layer3,167,bubbles,0.10848999
layer3,168,library,0.2765808
layer3,169,curtain,0.23382568
layer3,170,checker,0.14974976
layer3,171,dotted,0.1824646
layer3,172,stripes,0.25961304
layer3,173,juvenile,0.30801392
layer3,174,puzzle,0.11331177
layer3,175,wicker,0.17544556
layer3,176,juvenile,0.28875732
layer3,177,veins,0.11151123
layer3,178,nautical,0.1982727
layer3,179,facilities,0.09341431
layer3,180,checker,0.1812439
layer3,181,dotted,0.24346924
layer3,182,textile,0.10006714
layer3,183,green,0.29571533
layer3,184,glacier,0.20550537
layer3,185,lamp,0.13809204
layer3,186,habit,0.07696533
layer3,187,drought,0.1043396
layer3,188,vatican,0.120269775
layer3,189,textile,0.20657349
layer3,190,dotted,0.24917603
layer3,191,cookbooks,0.2546692
layer3,192,fruit,0.16708374
layer3,193,amarillo,0.10079956
layer3,194,grid,0.20507812
layer3,195,whirlpool,0.14312744
layer3,196,carbohydrate,0.08047485
layer3,197,drought,0.15582275
layer3,198,grooming,0.12728882
layer3,199,corridors,0.20404053
layer3,200,instrument,0.10076904
layer3,201,textile,0.20101929
layer3,202,checker,0.30026245
layer3,203,blinds,0.121795654
layer3,204,blinds,0.15585327
layer3,205,aa,0.10235596
layer3,206,wildlife,0.14053345
layer3,207,shelving,0.50994873
layer3,208,rafting,0.21594238
layer3,209,dotted,0.26339722
layer3,210,stripes,0.06222534
layer3,211,capsules,0.1262207
layer3,212,ladders,0.13186646
layer3,213,barred,0.12838745
layer3,214,dotted,0.40219116
layer3,215,measurement,0.12359619
layer3,216,textile,0.20980835
layer3,217,crossword,0.1381836
layer3,218,cages,0.1487732
layer3,219,carcinoma,0.13742065
layer3,220,linen,0.101989746
layer3,221,connections,0.06893921
layer3,222,stripe,0.24334717
layer3,223,vending,0.109375
layer3,224,lattice,0.13150024
layer3,225,pollen,0.10470581
layer3,226,deterioration,0.1477356
layer3,227,dotted,0.28878784
layer3,228,vibrant,0.16015625
layer3,229,dotted,0.21026611
layer3,230,conservatory,0.21963501
layer3,231,lace,0.12164307
layer3,232,containers,0.084198
layer3,233,checker,0.25656128
layer3,234,pinkworld,0.17687988
layer3,235,green,0.18630981
layer3,236,puzzles,0.08154297
layer3,237,textile,0.17810059
layer3,238,dotted,0.38131714
layer3,239,facilities,0.08673096
layer3,240,wholesalers,0.13113403
layer3,241,textile,0.2677307
layer3,242,female,0.16305542
layer3,243,pedigree,0.19036865
layer3,244,textile,0.20050049
layer3,245,dotted,0.19924927
layer3,246,turquoise,0.20388794
layer3,247,pattern,0.15896606
layer3,248,zebra,0.14285278
layer3,249,texture,0.18029785
layer3,250,linen,0.138031
layer3,251,female,0.43954468
layer3,252,membrane,0.19284058
layer3,253,lattice,0.14697266
layer3,254,webs,0.27316284
layer3,255,textile,0.3361206
layer4,0,kitchen,0.5496216
layer4,1,shops,0.38452148
layer4,2,pizza,0.2255249
layer4,3,auditorium,0.71759033
layer4,4,lobby,0.393219
layer4,5,clutter,0.2880249
layer4,6,tent,0.2079773
layer4,7,vineyards,0.3277588
layer4,8,habit,0.46148682
layer4,9,mating,0.30062866
layer4,10,gradient,0.1282959
layer4,11,participants,0.2849121
layer4,12,mating,0.30541992
layer4,13,caves,0.27145386
layer4,14,horses,0.3395996
layer4,15,infant,0.3222046
layer4,16,spiral,0.31304932
layer4,17,auditorium,0.7301636
layer4,18,snowmobile,0.22970581
layer4,19,food,0.29812622
layer4,20,courtyard,0.18060303
layer4,21,bookstore,0.4066162
layer4,22,trekking,0.30517578
layer4,23,kitchens,0.44955444
layer4,24,fireplaces,0.43850708
layer4,25,closet,0.42025757
layer4,26,pillars,0.25671387
layer4,27,segments,0.110076904
layer4,28,courtyard,0.32403564
layer4,29,townhouse,0.4333191
layer4,30,balcony,0.34957886
layer4,31,fossil,0.18258667
layer4,32,red,0.13912964
layer4,33,geology,0.3276062
layer4,34,bedrooms,0.46932983
layer4,35,roadside,0.17147827
layer4,36,harbour,0.42816162
layer4,37,satin,0.12060547
layer4,38,flight,0.277771
layer4,39,shops,0.27593994
layer4,40,controls,0.25299072
layer4,41,meat,0.37384033
layer4,42,bedrooms,0.6626892
layer4,43,playground,0.3771057
layer4,44,drainage,0.20907593
layer4,45,cottages,0.45028687
layer4,46,pocketpc,0.20779419
layer4,47,courts,0.17895508
layer4,48,sinks,0.2518921
layer4,49,dining,0.3204651
layer4,50,monument,0.33599854
layer4,51,kitchen,0.22686768
layer4,52,female,0.45593262
layer4,53,blinds,0.18551636
layer4,54,airports,0.30950928
layer4,55,pueblo,0.43325806
layer4,56,furnished,0.3522644
layer4,57,mating,0.2919922
layer4,58,phonephone,0.28686523
layer4,59,aviation,0.35351562
layer4,60,bathroom,0.32357788
layer4,61,arch,0.17324829
layer4,62,juvenile,0.3456726
layer4,63,swimwear,0.3300171
layer4,64,arcade,0.3227234
layer4,65,secretariat,0.16516113
layer4,66,hostel,0.28607178
layer4,67,park,0.3920288
layer4,68,classroom,0.6114502
layer4,69,phonephone,0.2689209
layer4,70,textile,0.50094604
layer4,71,lobby,0.3713379
layer4,72,juvenile,0.5187378
layer4,73,blanca,0.35250854
layer4,74,gardens,0.38970947
layer4,75,captive,0.3513794
layer4,76,ordered,0.28219604
layer4,77,noir,0.1454773
layer4,78,hedge,0.46221924
layer4,79,habit,0.18301392
layer4,80,terminals,0.23022461
layer4,81,temple,0.40618896
layer4,82,microphones,0.11138916
layer4,83,culinary,0.43154907
layer4,84,sail,0.16207886
layer4,85,prison,0.29730225
layer4,86,infants,0.25823975
layer4,87,alley,0.4140625
layer4,88,fountains,0.7605591
layer4,89,valley,0.3373413
layer4,90,rides,0.2192688
layer4,91,dog,0.26870728
layer4,92,northumberland,0.19927979
layer4,93,park,0.15890503
layer4,94,vegetation,0.19662476
layer4,95,chef,0.37438965
layer4,96,volleyball,0.6614685
layer4,97,rides,0.40634155
layer4,98,panel,0.18734741
layer4,99,crypt,0.368042
layer4,100,bathroom,0.25274658
layer4,101,dog,0.32034302
layer4,102,corridor,0.2914734
layer4,103,buses,0.268219
layer4,104,snorkeling,0.3567505
layer4,105,habitat,0.27633667
layer4,106,baseball,0.28579712
layer4,107,toys,0.19277954
layer4,108,female,0.2171936
layer4,109,exhibitions,0.31036377
layer4,110,horticulture,0.17388916
layer4,111,fields,0.2569275
layer4,112,tables,0.5111389
layer4,113,bowling,0.2826538
layer4,114,aviation,0.5354614
layer4,115,snorkeling,0.54071045
layer4,116,village,0.30807495
layer4,117,chef,0.30023193
layer4,118,skyline,0.3607483
layer4,119,platform,0.15896606
layer4,120,phonephone,0.31069946
layer4,121,campus,0.26919556
layer4,122,gravel,0.26333618
layer4,123,sign,0.24551392
layer4,124,dinnerware,0.46914673
layer4,125,bottles,0.30841064
layer4,126,bookshelf,0.49069214
layer4,127,collier,0.26379395
layer4,128,dams,0.18597412
layer4,129,northumberland,0.20169067
layer4,130,label,0.2746277
layer4,131,performing,0.21090698
layer4,132,tackling,0.28710938
layer4,133,sink,0.29660034
layer4,134,flowers,0.32806396
layer4,135,classroom,0.3548584
layer4,136,tower,0.33407593
layer4,137,kitchen,0.3321228
layer4,138,blinds,0.20297241
layer4,139,pasture,0.36203003
layer4,140,mesh,0.23675537
layer4,141,gyms,0.20562744
layer4,142,ruins,0.21810913
layer4,143,tapestry,0.31375122
layer4,144,hockey,0.43695068
layer4,145,cabin,0.26016235
layer4,146,showroom,0.24789429
layer4,147,lighthouse,0.6347046
layer4,148,gourmet,0.25927734
layer4,149,trekking,0.28631592
layer4,150,wilhelm,0.23101807
layer4,151,smithsonian,0.31552124
layer4,152,racing,0.24789429
layer4,153,cabinets,0.47314453
layer4,154,glacier,0.34768677
layer4,155,snorkeling,0.30462646
layer4,156,cockpit,0.19052124
layer4,157,bookshop,0.31298828
layer4,158,nature,0.120666504
layer4,159,performing,0.1552124
layer4,160,tackling,0.4232483
layer4,161,bookshop,0.41378784
layer4,162,textile,0.1289978
layer4,163,cafeteria,0.2612915
layer4,164,geological,0.2581482
layer4,165,auditorium,0.27844238
layer4,166,chefs,0.37612915
layer4,167,trains,0.5185852
layer4,168,dog,0.3829956
layer4,169,textile,0.23736572
layer4,170,racing,0.49057007
layer4,171,street,0.25753784
layer4,172,street,0.36853027
layer4,173,wardrobe,0.32589722
layer4,174,hockey,0.22640991
layer4,175,tent,0.12554932
layer4,176,tackling,0.14709473
layer4,177,juvenile,0.34683228
layer4,178,terrace,0.24203491
layer4,179,baroque,0.37210083
layer4,180,plants,0.39294434
layer4,181,street,0.3315735
layer4,182,vendors,0.36697388
layer4,183,nursery,0.62265015
layer4,184,horse,0.46380615
layer4,185,female,0.1892395
layer4,186,urn,0.13937378
layer4,187,altar,0.3086853
layer4,188,wavelength,0.17330933
layer4,189,attic,0.7601013
layer4,190,patio,0.29058838
layer4,191,fireplaces,0.26687622
layer4,192,towers,0.23257446
layer4,193,zebra,0.4565735
layer4,194,rides,0.26431274
layer4,195,barred,0.22064209
layer4,196,shed,0.4119873
layer4,197,corridors,0.3126831
layer4,198,ladders,0.32440186
layer4,199,ireland,0.27215576
layer4,200,newborn,0.25823975
layer4,201,avenue,0.15603638
layer4,202,lobby,0.24890137
layer4,203,stairs,0.5777588
layer4,204,trail,0.42388916
layer4,205,shops,0.31958008
layer4,206,cathedral,0.33187866
layer4,207,shelving,0.2814026
layer4,208,baseball,0.24298096
layer4,209,corridors,0.3640747
layer4,210,workstation,0.496521
layer4,211,football,0.1859436
layer4,212,collier,0.5617676
layer4,213,building,0.1643982
layer4,214,theatrical,0.22921753
layer4,215,bedrooms,0.5036621
layer4,216,makeup,0.2029419
layer4,217,subway,0.17044067
layer4,218,aviation,0.49972534
layer4,219,highways,0.46670532
layer4,220,carnival,0.3312683
layer4,221,dog,0.22692871
layer4,222,shed,0.3013916
layer4,223,fruit,0.23272705
layer4,224,architectures,0.2607422
layer4,225,bathroom,0.6000366
layer4,226,mauritania,0.27215576
layer4,227,malls,0.3251648
layer4,228,stadium,0.19824219
layer4,229,gyms,0.1602478
layer4,230,auditorium,0.19598389
layer4,231,baseball,0.17712402
layer4,232,building,0.26193237
layer4,233,bridge,0.38180542
layer4,234,tableware,0.14675903
layer4,235,baseball,0.53515625
layer4,236,flores,0.104888916
layer4,237,mating,0.41333008
layer4,238,horse,0.37503052
layer4,239,hoodia,0.16275024
layer4,240,paving,0.16415405
layer4,241,woven,0.2956848
layer4,242,room,0.18960571
layer4,243,furnished,0.3291626
layer4,244,juvenile,0.45825195
layer4,245,dams,0.23706055
layer4,246,aviation,0.4928589
layer4,247,workstations,0.3918152
layer4,248,female,0.39059448
layer4,249,kiosk,0.271698
layer4,250,lobby,0.3564453
layer4,251,bathroom,0.5618286
layer4,252,nursery,0.26428223
layer4,253,escherichia,0.24972534
layer4,254,stripe,0.29138184
layer4,255,courtroom,0.12982178
layer4,256,buses,0.54785156
layer4,257,alley,0.37869263
layer4,258,monkeys,0.15499878
layer4,259,foods,0.26309204
layer4,260,swings,0.19436646
layer4,261,combustion,0.12426758
layer4,262,mating,0.25567627
layer4,263,dotted,0.25912476
layer4,264,restaurants,0.30969238
layer4,265,condemned,0.361969
layer4,266,merchandise,0.21606445
layer4,267,street,0.40356445
layer4,268,buses,0.6616821
layer4,269,bedrooms,0.19546509
layer4,270,skiing,0.16342163
layer4,271,snorkeling,0.58444214
layer4,272,bridges,0.34088135
layer4,273,mating,0.37350464
layer4,274,grazing,0.21246338
layer4,275,mating,0.26864624
layer4,276,dog,0.37539673
layer4,277,juvenile,0.38635254
layer4,278,female,0.42269897
layer4,279,snorkeling,0.42510986
layer4,280,automobiles,0.28945923
layer4,281,market,0.3090515
layer4,282,broadway,0.3583374
layer4,283,chef,0.35440063
layer4,284,spiral,0.33172607
layer4,285,attic,0.71591187
layer4,286,gardening,0.24005127
layer4,287,ferries,0.37927246
layer4,288,culinary,0.4751892
layer4,289,trekking,0.23898315
layer4,290,cabinet,0.24099731
layer4,291,puppies,0.38891602
layer4,292,bottles,0.2902832
layer4,293,bathroom,0.24627686
layer4,294,condominiums,0.32492065
layer4,295,beverages,0.35894775
layer4,296,trains,0.2749939
layer4,297,bike,0.33285522
layer4,298,sauna,0.61709595
layer4,299,gyms,0.32528687
layer4,300,buses,0.19430542
layer4,301,island,0.27764893
layer4,302,hoodia,0.28274536
layer4,303,collier,0.23706055
layer4,304,nature,0.3819275
layer4,305,aviation,0.36218262
layer4,306,walls,0.22518921
layer4,307,bridges,0.28167725
layer4,308,washers,0.57928467
layer4,309,greenhouse,0.40411377
layer4,310,bathroom,0.67004395
layer4,311,weave,0.16836548
layer4,312,cemetery,0.29611206
layer4,313,female,0.31256104
layer4,314,screws,0.15151978
layer4,315,railways,0.44702148
layer4,316,chapel,0.22229004
layer4,317,compaq,0.4302063
layer4,318,kitchens,0.7112427
layer4,319,aviation,0.21356201
layer4,320,monument,0.256073
layer4,321,fruits,0.26846313
layer4,322,garage,0.319458
layer4,323,tackling,0.1977539
layer4,324,smugmug,0.1722107
layer4,325,bedrooms,0.35559082
layer4,326,juvenile,0.48269653
layer4,327,fruits,0.25897217
layer4,328,billiards,0.4878235
layer4,329,enlisted,0.31600952
layer4,330,portrait,0.1835022
layer4,331,textile,0.26782227
layer4,332,sediment,0.17828369
layer4,333,deck,0.15435791
layer4,334,pond,0.33911133
layer4,335,horses,0.39575195
layer4,336,harbour,0.5083008
layer4,337,crossword,0.14819336
layer4,338,hockey,0.4242859
layer4,339,jacuzzi,0.33859253
layer4,340,mare,0.31396484
layer4,341,yellow,0.22451782
layer4,342,pasture,0.21722412
layer4,343,instructors,0.20736694
layer4,344,tube,0.21258545
layer4,345,refrigerators,0.20562744
layer4,346,kerala,0.15505981
layer4,347,habitat,0.26416016
layer4,348,silhouette,0.11416626
layer4,349,shoes,0.42642212
layer4,350,bathroom,0.7286682
layer4,351,cavalry,0.2989502
layer4,352,corridors,0.2029419
layer4,353,furniture,0.2770996
layer4,354,branches,0.28070068
layer4,355,classrooms,0.43966675
layer4,356,juvenile,0.19146729
layer4,357,lobby,0.3375244
layer4,358,dispenser,0.15405273
layer4,359,juvenile,0.20333862
layer4,360,cathedral,0.2928772
layer4,361,musicians,0.23348999
layer4,362,aquarium,0.18762207
layer4,363,female,0.35794067
layer4,364,indoor,0.26220703
layer4,365,volleyball,0.23153687
layer4,366,signage,0.19100952
layer4,367,corridors,0.4333191
layer4,368,mill,0.27407837
layer4,369,nursery,0.6154175
layer4,370,underwater,0.19830322
